OpCode,Description,TaskIDAlignment,RepairPM
2915,REPAIR BLOW OFF LEAK                                ,DBF-REPAIR,Repair
2611,INSTALL DEAD END BLOW OFF                           ,DBF-INST-DE,Repair
2717,BLOW-OFF INSTALLATION                               ,DBF-INST-DE,Repair
2920,ADJUST DEAD END BLOW OFF VALVE BOX                  ,DBF-ADJBOX,Repair
2919,ADJUST DEAD END BLOW OFF STAND PIPE                 ,DBF,Repair
2930,AIR VALVE MAINTENANCE                               ,DAR,Repair
2410,SOIL TESTING                                        ,(NEW) PRJ-SOILTE,Repair
2436,SHUT OFF NOTICE DISTRIBUTION                        ,(NEW) PRJ-SHTOFF,Repair
2408,SAMPLING                                            ,(NEW) PRJ-SAMP,Repair
0518,INSPECTION-VEHICLE REPAIRS                          ,(NEW) PRJ-INSP,Repair
2402,INTERIM INSPECTION                                  ,(NEW) PRJ-INSP,Repair
2422,LG METER VAULT CONSTR/INSP.                         ,(NEW) PRJ-INSP,Repair
2423,PIPELINE REPAIR INSPECTION                          ,(NEW) PRJ-INSP,Repair
2430,FINAL INSP PRELIMINARY                              ,(NEW) PRJ-INSP,Repair
2431,FINAL INSP INTERIM CHECKS                           ,(NEW) PRJ-INSP,Repair
2432,FINAL INSP CORRESPONDENCE & DOCUMENTATION           ,(NEW) PRJ-INSP,Repair
2433,"FINAL INSP CONTRACTORS REPAIRS, CHARGES             ",(NEW) PRJ-INSP,Repair
2434,FINAL INSP COMPLETION                               ,(NEW) PRJ-INSP,Repair
2443,OFFSET INSTALLATION (INSPECTION)                    ,(NEW) PRJ-INSP,Repair
2444,CASING INSTALLATION (INSPECTION)                    ,(NEW) PRJ-INSP,Repair
2455,INSPECTION OF SERVICES INSTALLED BY CONTRACTORS     ,(NEW) PRJ-INSP,Repair
2461,INTERIM INSP - CONTRACTOR INSTALLED SERVICES        ,(NEW) PRJ-INSP,Repair
2905,VALVE INSPECTION                                    ,(NEW) PRJ-INSP,Repair
2935,INSPECT CONTRACTOR ADJUSTMENTS                      ,(NEW) PRJ-INSP,Repair
2403,PRELIMINARY FLUSH                                   ,(NEW) PRJ-FLUSH,Repair
2407,SECOND FLUSH                                        ,(NEW) PRJ-FLUSH,Repair
2405,MECHANICAL CHLORINATION / SWAB                      ,(NEW) PRJ-CHLOR,Repair
2406,CHLORINATION                                        ,(NEW) PRJ-CHLOR,Repair
2404,PRESSURE TEST                                       ,(NEW) PRJ_PRESTE,Repair
2620,PRESSURE TEST (NON-INSPEC)                          ,(NEW) PRJ,Repair
2412,LOCATING WATER LINES                                ,(NEW) LOCATE,Repair
2926,SHUT OFF MAIN FOR REPAIRS                           ,(NEW) DVL-SHUTOFF,Repair
2625,RELOCATE EXISTING VALVE                             ,(NEW) DVL-MOVE,Repair
2705,RELOCATE EXISTING VALVE                             ,(NEW) DVL-MOVE,Repair
2927,INSTALL VALVE STEM EXTENSION                        ,(NEW) DVL-EXTSN,Repair
3139,FLUSH SERVICE                                       ,(NEW) DSV-FLUSH,Repair
3135,CHECK PRESSURE                                      ,(NEW) DSV-FLOW,Repair
2632,SOIL TESTING (NON-INSPEC)                           ,(NEW) DPR-SOILTE,Repair
2409,"TIE IN AND HYDRANT TEST, SAMPLING                   ",(NEW) DPI-TIEIN,Repair
2606,INSTALL TIE IN                                      ,(NEW) DPI-TIEIN,Repair
2628,TIE IN EXISTING MAIN TO NEW MAIN                    ,(NEW) DPI-TIEIN,Repair
2652,INSTALL CROSS                                       ,(NEW) DPI-TIEIN,Repair
2713,TIE-IN EXISTING MAIN TO NEW MAIN                    ,(NEW) DPI-TIEIN,Repair
2924,FLUSHING MAINS                                      ,(NEW) DPI-FLUSH,Repair
2925,FLUSHING MAINS FOR CHLORINE RESIDUAL                ,(NEW) DPI-FLUSH,Repair
2630,CAP TEE                                             ,(NEW) DPI-CAP,Repair
2707,CAP TEE                                             ,(NEW) DPI-CAP,Repair
2803,"HYDRANTS, LEAKS                                     ",(NEW) DHY-REPR,Repair
2804,"HYDRANTS, VALVE LEAKS                               ",(NEW) DHY-REPR,Repair
2805,"HYDRANTS, REPAIR                                    ",(NEW) DHY-REPR,Repair
2833,HYDRANT CONTRACTOR REPORTED DEFICIENCY REPAIR       ,(NEW) DHY-REPR,Repair
7136,HAULING/LOADING                                     ,(NEW) DGR-SPOILS,Repair
48ST,48TH ST DIRT\GRAVEL RECYCLING & SPOIL DISPOSAL      ,(NEW) DGR-SPOILS,Repair
48TH,48TH ST IMPROVEMENTS (COPELAND PARK)                ,(NEW) DGR-SPOILS,Repair
0920,SALVAGE                                             ,(NEW) DGR-SALVAGE,Repair
2420,TAPS COMPLETE                                       ,(NEW) DGR-INSP,Repair
2439,FIELD VERIFICATION OF AS-BUILTS                     ,(NEW) DGR-INSP,Repair
2456,"CONTRACTOR INSTALLED SERVICE, 1/2""                  ",(NEW) DGR-INSP,Repair
2457,"CONTRACTOR INSTALLED SERVICE, 3/4""                  ",(NEW) DGR-INSP,Repair
2458,"CONTRACTOR INSTALLED SERVICE, 1""                    ",(NEW) DGR-INSP,Repair
2459,"CONTRACTOR INSTALLED SERVICE, 1 1/2""                ",(NEW) DGR-INSP,Repair
2460,"CONTRACTOR INSTALLED SERVICE, 2""                    ",(NEW) DGR-INSP,Repair
2600,PIPELINE INSTALLATION-DEVELOPER                     ,(NEW) DGR-INSP,Repair
2831,NEW/REPLACED/RELOCATED HYDRANT INSPECTION           ,(NEW) DGR-INSP,Repair
2651,EXTEND/RELOC BLOW-OFF                               ,(NEW) DBF-MOVE,Repair
2796,RELOCATE EXISTING BLOW-OFF                          ,(NEW) DBF-MOVE,Repair
2714,RELOCATE AIR RELEASE VALVE                          ,(NEW) DAR-MOVE,Repair
