OpCode,Description,TaskIDAlignment,RepairPM,,
0361,HYDRAULIC SYSTEMS                                   ,065-070,Repair,,
0362,ELECTRICAL SYSTEMS                                  ,031-090,Repair,,
0363,MECHANICAL SYSTEMS                                  ,071-110,Repair,,
0364,PNEUMATIC  SYSTEMS                                  ,210-040,Repair,,
0365,STRUCTURAL                                          ,071-100,Repair,,
0636,ELECTRICAL                                          ,090-110,Repair,,
0801,FABRICATION                                         ,090-120,Repair,,
0812,FARM EQUIPMENT                                      ,090-110,Repair,,
0900,SUPERVISION                                         ,090-170,Repair,,
0911,PICKING UP PARTS                                    ,090-140,Repair,,
0912,PICKUP AND DELIVERY OF UNITS FOR REPA               ,090-040,Repair,,
0914,TRAINING                                            ,IND-ADMIN,Repair,,
0916,DO NOT USE                                          ,090-110,Repair,,
0918,MAINTENANCE OF TOOLS AND EQUIPMENT                  ,090-180,Repair,,
1529,TRAINING CLASSES/SEMINARS                           ,IND-ADMIN,Repair,,
1542,TRANSPORTING EQUIPMENT                              ,090-040,Repair,,
2450,SAFETY INSPECTIONS                                  ,090-150,Repair,,
4125,NATURAL RESOURCES DIVISION                          ,090-110,Repair,,
4130,FACILITIES DIVISION                                 ,090-110,Repair,,
4135,DISTRIBUTION DIVISION                               ,090-110,Repair,,
4140,GENERAL SERVICES DIVISION                           ,090-110,Repair,,
5064,ASSISTANCE                                          ,090-190,Repair,,
5066,MEETINGS                                            ,IND-MEET,Repair,,
5071,CLEAN UP                                            ,090-110,Repair,,
5706,DIAGNOSTICS/TROUBLESHOOTING                         ,090-110,Repair,,
CNTR,COUNTER ISSUES / MATERIAL & SUPPLY                  ,090-110,Repair,,
INSP,STATE INSPECTION                                    ,STATEINSP,Repair,,
SPM1,SPC. EQP. P.M.(90DAYS)                              ,SEPM-2M,PM,,
SPM2,SPC. EQP. P.M.(120DAYS)                             ,SEPM-4M,PM,,
SPM3,SPC. EQP. P.M.(180DAYS)                             ,SEPM-6M,PM,,
SPM4,SPC. EQP. P.M.(365DAYS)                             ,SEPM-12M,PM,,
VEH ,VEHICLE SHOP                                        ,090-110,Repair,,
0158,EMERGENCY VEHICLE OPT EQUIPMENT                     ,090-110,Repair,,
0414,ACCIDENT LEFT FRONT FENDER                          ,091-060,Repair,,
0524,FUEL SYSTEM                                         ,044-100,Repair,,
0621,ALTERNATOR                                          ,031-020,Repair,,
0631,DISTRIBUTOR                                         ,032-030,Repair,,
0641,TIRES                                               ,017-070,Repair,,
0804,EVENTS                                              ,IND-ADMIN,Repair,,
0913,MISCELLANEOUS                                       ,090-110,Repair,,
0915,LITIGATION                                          ,IND-ADMIN,Repair,,
0917,STAND-BY WAITING FOR ASSIGNMENT                     ,IND-ADMIN,Repair,,
0919,REWORK                                              ,090-110,Repair,,
0946,BUILDING MAINTENANCE                                ,090-110,Repair,,
0954,VACATION TIME                                       ,IND-ADMIN,Repair,,
0980,OVERHEAD SUPPLIES                                   ,IND-ADMIN,Repair,,
1000,RODEO                                               ,090-110,Repair,,
1530,TREE PLANTING                                       ,090-110,Repair,,
1547,RESIDUALS MANAGEMENT                                ,090-110,Repair,,
2540,"RENEW SERVICE,     1/2""                             ",090-110,Repair,,
5060,ASSIGNMENT                                          ,090-110,Repair,,
5061,PARTS                                               ,090-110,Repair,,
5062,SPECIAL TOOL                                        ,090-110,Repair,,
5065,TRAVEL                                              ,IND-ADMIN,Repair,,
5067,FIRST AID                                           ,090-110,Repair,,
5069,TRAINING                                            ,IND-ADMIN,Repair,,
5070,OTHER                                               ,090-110,Repair,,
5405,STRUCTURAL STEEL                                    ,090-110,Repair,,
5406,"FURNITURE, CABINETS                                 ",090-110,Repair,,
5506,"REPAIR, PATCHING                                    ",090-110,Repair,,
5701,LIGHTING SYSTEMS                                    ,090-110,Repair,,
5703,"CONTROL PANELS, FABRICATION OR DESIGN)              ",090-110,Repair,,
5704,WIRING/CONDUIT- 600 VOLTS OR LESS                   ,090-110,Repair,,
8706,4 DISCONTINUE METERS                                ,090-110,Repair,,
9016,"12"" METER TEST                                      ",090-110,Repair,,
